"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","HOME_PTS","AWAY_PTS","nh","j3210","j45"
"0020800002",2008-10-28,"Regular Season","MIL @ CHI","Chicago Bulls","Milwaukee Bucks",108,95,"j3210",3,5
"0020800002",2008-10-28,"Regular Season","MIL @ CHI","Chicago Bulls","Milwaukee Bucks",108,95,"j45",7,-2
"0020800003",2008-10-28,"Regular Season","POR @ LAL","Los Angeles Lakers","Portland Trail Blazers",96,76,"j3210",4,-2
"0020800003",2008-10-28,"Regular Season","POR @ LAL","Los Angeles Lakers","Portland Trail Blazers",96,76,"j45",4,14
"0020800004",2008-10-29,"Regular Season","ATL @ ORL","Orlando Magic","Atlanta Hawks",85,99,"j3210",-4,-13
"0020800004",2008-10-29,"Regular Season","ATL @ ORL","Orlando Magic","Atlanta Hawks",85,99,"j45",7,-4
"0020800006",2008-10-29,"Regular Season","NJN @ WAS","Washington Wizards","New Jersey Nets",85,95,"j3210",-2,-1
"0020800006",2008-10-29,"Regular Season","NJN @ WAS","Washington Wizards","New Jersey Nets",85,95,"j45",-13,6
"0020800007",2008-10-29,"Regular Season","MIA @ NYK","New York Knicks","Miami Heat",120,115,"j3210",5,-10
"0020800007",2008-10-29,"Regular Season","MIA @ NYK","New York Knicks","Miami Heat",120,115,"j45",-4,14
"0020800008",2008-10-29,"Regular Season","IND @ DET","Detroit Pistons","Indiana Pacers",100,94,"j3210",5,3
"0020800008",2008-10-29,"Regular Season","IND @ DET","Detroit Pistons","Indiana Pacers",100,94,"j45",1,-3
"0020800009",2008-10-29,"Regular Season","SAC @ MIN","Minnesota Timberwolves","Sacramento Kings",98,96,"j3210",3,6
"0020800009",2008-10-29,"Regular Season","SAC @ MIN","Minnesota Timberwolves","Sacramento Kings",98,96,"j45",-4,-3
"0020800010",2008-10-29,"Regular Season","MIL @ OKC","Oklahoma City Thunder","Milwaukee Bucks",87,98,"j3210",21,-12
"0020800010",2008-10-29,"Regular Season","MIL @ OKC","Oklahoma City Thunder","Milwaukee Bucks",87,98,"j45",0,-20
"0020800011",2008-10-29,"Regular Season","PHX @ SAS","San Antonio Spurs","Phoenix Suns",98,103,"j3210",14,-10
"0020800011",2008-10-29,"Regular Season","PHX @ SAS","San Antonio Spurs","Phoenix Suns",98,103,"j45",-6,-3
"0020800012",2008-10-29,"Regular Season","MEM @ HOU","Houston Rockets","Memphis Grizzlies",82,71,"j3210",-8,1
"0020800012",2008-10-29,"Regular Season","MEM @ HOU","Houston Rockets","Memphis Grizzlies",82,71,"j45",2,16
"0020800013",2008-10-29,"Regular Season","DEN @ UTA","Utah Jazz","Denver Nuggets",98,94,"j3210",-2,-3
"0020800013",2008-10-29,"Regular Season","DEN @ UTA","Utah Jazz","Denver Nuggets",98,94,"j45",0,9
"0020800014",2008-10-29,"Regular Season","NOH @ GSW","Golden State Warriors","New Orleans Hornets",103,108,"j3210",2,-15
"0020800014",2008-10-29,"Regular Season","NOH @ GSW","Golden State Warriors","New Orleans Hornets",103,108,"j45",8,-5
"0020800015",2008-10-29,"Regular Season","LAL @ LAC","Los Angeles Clippers","Los Angeles Lakers",79,117,"j3210",-10,-6
"0020800015",2008-10-29,"Regular Season","LAL @ LAC","Los Angeles Clippers","Los Angeles Lakers",79,117,"j45",-4,-18
"0020800016",2008-10-30,"Regular Season","CHA @ CLE","Cleveland Cavaliers","Charlotte Bobcats",96,79,"j3210",21,-8
"0020800016",2008-10-30,"Regular Season","CHA @ CLE","Cleveland Cavaliers","Charlotte Bobcats",96,79,"j45",5,-1
"0020800019",2008-10-31,"Regular Season","NYK @ PHI","Philadelphia 76ers","New York Knicks",116,87,"j3210",16,6
