"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","nh","j3210","j45"
"0020800002",2008-10-28,"Regular Season","MIL @ CHI","Chicago Bulls","Milwaukee Bucks","j3210",1158,197
"0020800002",2008-10-28,"Regular Season","MIL @ CHI","Chicago Bulls","Milwaukee Bucks","j45",825,700
"0020800003",2008-10-28,"Regular Season","POR @ LAL","Los Angeles Lakers","Portland Trail Blazers","j3210",1281,177
"0020800003",2008-10-28,"Regular Season","POR @ LAL","Los Angeles Lakers","Portland Trail Blazers","j45",285,1137
"0020800004",2008-10-29,"Regular Season","ATL @ ORL","Orlando Magic","Atlanta Hawks","j3210",797,498
"0020800004",2008-10-29,"Regular Season","ATL @ ORL","Orlando Magic","Atlanta Hawks","j45",179,1406
"0020800006",2008-10-29,"Regular Season","NJN @ WAS","Washington Wizards","New Jersey Nets","j3210",1188,260
"0020800006",2008-10-29,"Regular Season","NJN @ WAS","Washington Wizards","New Jersey Nets","j45",435,997
"0020800007",2008-10-29,"Regular Season","MIA @ NYK","New York Knicks","Miami Heat","j3210",755,639
"0020800007",2008-10-29,"Regular Season","MIA @ NYK","New York Knicks","Miami Heat","j45",141,1345
"0020800008",2008-10-29,"Regular Season","IND @ DET","Detroit Pistons","Indiana Pacers","j3210",742,599
"0020800008",2008-10-29,"Regular Season","IND @ DET","Detroit Pistons","Indiana Pacers","j45",789,750
"0020800009",2008-10-29,"Regular Season","SAC @ MIN","Minnesota Timberwolves","Sacramento Kings","j3210",860,621
"0020800009",2008-10-29,"Regular Season","SAC @ MIN","Minnesota Timberwolves","Sacramento Kings","j45",255,1144
"0020800010",2008-10-29,"Regular Season","MIL @ OKC","Oklahoma City Thunder","Milwaukee Bucks","j3210",1430,389
"0020800010",2008-10-29,"Regular Season","MIL @ OKC","Oklahoma City Thunder","Milwaukee Bucks","j45",73,988
"0020800011",2008-10-29,"Regular Season","PHX @ SAS","San Antonio Spurs","Phoenix Suns","j3210",929,802
"0020800011",2008-10-29,"Regular Season","PHX @ SAS","San Antonio Spurs","Phoenix Suns","j45",140,1009
"0020800012",2008-10-29,"Regular Season","MEM @ HOU","Houston Rockets","Memphis Grizzlies","j3210",1052,114
"0020800012",2008-10-29,"Regular Season","MEM @ HOU","Houston Rockets","Memphis Grizzlies","j45",178,1536
"0020800013",2008-10-29,"Regular Season","DEN @ UTA","Utah Jazz","Denver Nuggets","j3210",1474,626
"0020800013",2008-10-29,"Regular Season","DEN @ UTA","Utah Jazz","Denver Nuggets","j45",31,749
"0020800014",2008-10-29,"Regular Season","NOH @ GSW","Golden State Warriors","New Orleans Hornets","j3210",512,1008
"0020800014",2008-10-29,"Regular Season","NOH @ GSW","Golden State Warriors","New Orleans Hornets","j45",382,978
"0020800015",2008-10-29,"Regular Season","LAL @ LAC","Los Angeles Clippers","Los Angeles Lakers","j3210",1402,104
"0020800015",2008-10-29,"Regular Season","LAL @ LAC","Los Angeles Clippers","Los Angeles Lakers","j45",259,1115
"0020800016",2008-10-30,"Regular Season","CHA @ CLE","Cleveland Cavaliers","Charlotte Bobcats","j3210",1385,284
"0020800016",2008-10-30,"Regular Season","CHA @ CLE","Cleveland Cavaliers","Charlotte Bobcats","j45",324,887
"0020800019",2008-10-31,"Regular Season","NYK @ PHI","Philadelphia 76ers","New York Knicks","j3210",1451,429
"0020800019",2008-10-31,"Regular Season","NYK @ PHI","Philadelphia 76ers","New York Knicks","j45",329,671
"0020800020",2008-10-31,"Regular Season","GSW @ TOR","Toronto Raptors","Golden State Warriors","j3210",792,373
"0020800020",2008-10-31,"Regular Season","GSW @ TOR","Toronto Raptors","Golden State Warriors","j45",315,1400
"0020800021",2008-10-31,"Regular Season","SAC @ MIA","Miami Heat","Sacramento Kings","j3210",1236,65
"0020800021",2008-10-31,"Regular Season","SAC @ MIA","Miami Heat","Sacramento Kings","j45",416,1163
"0020800023",2008-10-31,"Regular Season","ORL @ MEM","Memphis Grizzlies","Orlando Magic","j3210",743,599
"0020800023",2008-10-31,"Regular Season","ORL @ MEM","Memphis Grizzlies","Orlando Magic","j45",451,1087
"0020800024",2008-10-31,"Regular Season","DEN @ LAC","Los Angeles Clippers","Denver Nuggets","j3210",987,178
"0020800024",2008-10-31,"Regular Season","DEN @ LAC","Los Angeles Clippers","Denver Nuggets","j45",278,1437
"0020800025",2008-10-31,"Regular Season","SAS @ POR","Portland Trail Blazers","San Antonio Spurs","j3210",1050,220
"0020800025",2008-10-31,"Regular Season","SAS @ POR","Portland Trail Blazers","San Antonio Spurs","j45",582,1028
"0020800026",2008-11-01,"Regular Season","PHI @ ATL","Atlanta Hawks","Philadelphia 76ers","j3210",754,433
"0020800026",2008-11-01,"Regular Season","PHI @ ATL","Atlanta Hawks","Philadelphia 76ers","j45",278,1415
"0020800027",2008-11-01,"Regular Season","MIA @ CHA","Charlotte Bobcats","Miami Heat","j3210",714,569
"0020800027",2008-11-01,"Regular Season","MIA @ CHA","Charlotte Bobcats","Miami Heat","j45",160,1437
"0020800028",2008-11-01,"Regular Season","BOS @ IND","Indiana Pacers","Boston Celtics","j3210",1274,252
"0020800028",2008-11-01,"Regular Season","BOS @ IND","Indiana Pacers","Boston Celtics","j45",192,1162
"0020800029",2008-11-01,"Regular Season","SAC @ ORL","Orlando Magic","Sacramento Kings","j3210",995,239
"0020800029",2008-11-01,"Regular Season","SAC @ ORL","Orlando Magic","Sacramento Kings","j45",108,1538
"0020800030",2008-11-01,"Regular Season","WAS @ DET","Detroit Pistons","Washington Wizards","j3210",1121,129
"0020800030",2008-11-01,"Regular Season","WAS @ DET","Detroit Pistons","Washington Wizards","j45",596,1034
"0020800031",2008-11-01,"Regular Season","GSW @ NJN","New Jersey Nets","Golden State Warriors","j3210",1465,374
"0020800031",2008-11-01,"Regular Season","GSW @ NJN","New Jersey Nets","Golden State Warriors","j45",271,770
"0020800032",2008-11-01,"Regular Season","DAL @ MIN","Minnesota Timberwolves","Dallas Mavericks","j3210",1254,319
"0020800032",2008-11-01,"Regular Season","DAL @ MIN","Minnesota Timberwolves","Dallas Mavericks","j45",339,968
"0020800033",2008-11-01,"Regular Season","CLE @ NOH","New Orleans Hornets","Cleveland Cavaliers","j3210",1335,260
"0020800033",2008-11-01,"Regular Season","CLE @ NOH","New Orleans Hornets","Cleveland Cavaliers","j45",191,1094
"0020800035",2008-11-01,"Regular Season","OKC @ HOU","Houston Rockets","Oklahoma City Thunder","j3210",939,234
"0020800035",2008-11-01,"Regular Season","OKC @ HOU","Houston Rockets","Oklahoma City Thunder","j45",328,1379
"0020800036",2008-11-01,"Regular Season","TOR @ MIL","Milwaukee Bucks","Toronto Raptors","j3210",776,286
"0020800036",2008-11-01,"Regular Season","TOR @ MIL","Milwaukee Bucks","Toronto Raptors","j45",307,1511
"0020800037",2008-11-01,"Regular Season","LAL @ DEN","Denver Nuggets","Los Angeles Lakers","j3210",839,270
"0020800037",2008-11-01,"Regular Season","LAL @ DEN","Denver Nuggets","Los Angeles Lakers","j45",394,1377
"0020800039",2008-11-01,"Regular Season","POR @ PHX","Phoenix Suns","Portland Trail Blazers","j3210",864,240
"0020800039",2008-11-01,"Regular Season","POR @ PHX","Phoenix Suns","Portland Trail Blazers","j45",222,1554
"0020800040",2008-11-02,"Regular Season","MIL @ NYK","New York Knicks","Milwaukee Bucks","j3210",951,694
"0020800040",2008-11-02,"Regular Season","MIL @ NYK","New York Knicks","Milwaukee Bucks","j45",329,906
"0020800041",2008-11-02,"Regular Season","MIN @ OKC","Oklahoma City Thunder","Minnesota Timberwolves","j3210",1290,224
"0020800041",2008-11-02,"Regular Season","MIN @ OKC","Oklahoma City Thunder","Minnesota Timberwolves","j45",1,1365
"0020800042",2008-11-03,"Regular Season","DET @ CHA","Charlotte Bobcats","Detroit Pistons","j3210",1458,73
"0020800042",2008-11-03,"Regular Season","DET @ CHA","Charlotte Bobcats","Detroit Pistons","j45",218,1131
"0020800044",2008-11-03,"Regular Season","SAC @ PHI","Philadelphia 76ers","Sacramento Kings","j3210",1524,129
"0020800044",2008-11-03,"Regular Season","SAC @ PHI","Philadelphia 76ers","Sacramento Kings","j45",501,726
"0020800045",2008-11-03,"Regular Season","GSW @ MEM","Memphis Grizzlies","Golden State Warriors","j3210",1225,360
"0020800045",2008-11-03,"Regular Season","GSW @ MEM","Memphis Grizzlies","Golden State Warriors","j45",89,1206
"0020800046",2008-11-03,"Regular Season","CLE @ DAL","Dallas Mavericks","Cleveland Cavaliers","j3210",1346,150
"0020800046",2008-11-03,"Regular Season","CLE @ DAL","Dallas Mavericks","Cleveland Cavaliers","j45",438,946
"0020800047",2008-11-03,"Regular Season","UTA @ LAC","Los Angeles Clippers","Utah Jazz","j3210",1599,85
"0020800047",2008-11-03,"Regular Season","UTA @ LAC","Los Angeles Clippers","Utah Jazz","j45",370,826
"0020800048",2008-11-04,"Regular Season","PHX @ NJN","New Jersey Nets","Phoenix Suns","j3210",1422,153
"0020800048",2008-11-04,"Regular Season","PHX @ NJN","New Jersey Nets","Phoenix Suns","j45",145,1160
"0020800049",2008-11-04,"Regular Season","BOS @ HOU","Houston Rockets","Boston Celtics","j3210",779,422
"0020800049",2008-11-04,"Regular Season","BOS @ HOU","Houston Rockets","Boston Celtics","j45",165,1514
"0020800050",2008-11-04,"Regular Season","DAL @ SAS","San Antonio Spurs","Dallas Mavericks","j3210",1101,1004
"0020800050",2008-11-04,"Regular Season","DAL @ SAS","San Antonio Spurs","Dallas Mavericks","j45",206,569
"0020800051",2008-11-05,"Regular Season","PHX @ IND","Indiana Pacers","Phoenix Suns","j3210",773,416
"0020800051",2008-11-05,"Regular Season","PHX @ IND","Indiana Pacers","Phoenix Suns","j45",664,1027
"0020800052",2008-11-05,"Regular Season","DET @ TOR","Toronto Raptors","Detroit Pistons","j3210",840,227
"0020800052",2008-11-05,"Regular Season","DET @ TOR","Toronto Raptors","Detroit Pistons","j45",502,1311
"0020800053",2008-11-05,"Regular Season","PHI @ MIA","Miami Heat","Philadelphia 76ers","j3210",1028,417
"0020800053",2008-11-05,"Regular Season","PHI @ MIA","Miami Heat","Philadelphia 76ers","j45",347,1088
"0020800054",2008-11-05,"Regular Season","CHA @ NYK","New York Knicks","Charlotte Bobcats","j3210",549,1316
"0020800054",2008-11-05,"Regular Season","CHA @ NYK","New York Knicks","Charlotte Bobcats","j45",56,959
"0020800055",2008-11-05,"Regular Season","CHI @ CLE","Cleveland Cavaliers","Chicago Bulls","j3210",1465,149
"0020800055",2008-11-05,"Regular Season","CHI @ CLE","Cleveland Cavaliers","Chicago Bulls","j45",526,740
"0020800056",2008-11-05,"Regular Season","WAS @ MIL","Milwaukee Bucks","Washington Wizards","j3210",1198,474
"0020800056",2008-11-05,"Regular Season","WAS @ MIL","Milwaukee Bucks","Washington Wizards","j45",440,768
"0020800058",2008-11-05,"Regular Season","ATL @ NOH","New Orleans Hornets","Atlanta Hawks","j3210",966,249
"0020800058",2008-11-05,"Regular Season","ATL @ NOH","New Orleans Hornets","Atlanta Hawks","j45",143,1522
"0020800059",2008-11-05,"Regular Season","BOS @ OKC","Oklahoma City Thunder","Boston Celtics","j3210",895,873
"0020800059",2008-11-05,"Regular Season","BOS @ OKC","Oklahoma City Thunder","Boston Celtics","j45",170,942
"0020800061",2008-11-05,"Regular Season","MEM @ SAC","Sacramento Kings","Memphis Grizzlies","j3210",1240,20
"0020800061",2008-11-05,"Regular Season","MEM @ SAC","Sacramento Kings","Memphis Grizzlies","j45",645,975
"0020800063",2008-11-05,"Regular Season","LAC @ LAL","Los Angeles Lakers","Los Angeles Clippers","j3210",1123,203
"0020800063",2008-11-05,"Regular Season","LAC @ LAL","Los Angeles Lakers","Los Angeles Clippers","j45",434,1120
"0020800065",2008-11-06,"Regular Season","HOU @ POR","Portland Trail Blazers","Houston Rockets","j3210",1512,376
"0020800065",2008-11-06,"Regular Season","HOU @ POR","Portland Trail Blazers","Houston Rockets","j45",167,825
"0020800066",2008-11-07,"Regular Season","NOH @ CHA","Charlotte Bobcats","New Orleans Hornets","j3210",1187,428
"0020800066",2008-11-07,"Regular Season","NOH @ CHA","Charlotte Bobcats","New Orleans Hornets","j45",90,1175
"0020800067",2008-11-07,"Regular Season","NYK @ WAS","Washington Wizards","New York Knicks","j3210",1314,660
"0020800067",2008-11-07,"Regular Season","NYK @ WAS","Washington Wizards","New York Knicks","j45",204,702
